0x80004100 interrupt_system_reset
0x80004200 interrupt_machine_check
0x80004300 interrupt_data_storage
0x80004400 interrupt_instruction_storage
0x80004500 interrupt_external_interrupt
0x80004600 interrupt_alignment
0x80004700 interrupt_program
0x80004800 interrupt_floating_point_unavailable
0x80004900 interrupt_decrementer
0x80004a00 interrupt_reserved_4a00
0x80004b00 interrupt_reserved_4b00
0x80004c00 interrupt_system_call
0x80004d00 interrupt_trace
0x80004e00 interrupt_floating_point_assist
0x80004f00 interrupt_unknown_4f00
0x80005000 interrupt_software_emulation
0x80005100 interrupt_instruction_tlb_miss
0x80005200 interrupt_data_tlb_miss
0x80005300 interrupt_instruction_tlb_error
0x80005400 interrupt_data_tlb_error
0x80005500 interrupt_reserved_5500
0x80005600 interrupt_reserved_5600
0x80005700 interrupt_reserved_5700
0x80005800 interrupt_reserved_5800
0x80005900 interrupt_reserved_5900
0x80005a00 interrupt_reserved_5a00
0x80005b00 interrupt_reserved_5b00
0x80005c00 interrupt_data_breakpoint
0x80005d00 interrupt_instruction_breakpoint
0x80005e00 interrupt_peripheral_breakpoint
0x80005f00 interrupt_non_maskable_development_port
0x80005f34 memcpy
0x80005f84 __fill_mem
0x80006038 memset
0x80006068 __check_pad3
0x80006090 __set_debug_bba
0x8000609c __get_debug_bba
0x800060a4 __start
0x80006210 __init_registers
0x800062a0 __init_data
0x80006348 __init_hardware
0x8000636c __flush_cache
0x800063a0 trk_section_table
0x80006424 trk_bss_entry
0x800072c0 StrapScene_construct
0x800073f0 RKScene_destroy
0x80007448 StrapScene_destroy
0x800074a4 StrapScene_linkModule
0x800074d8 StrapScene_enter
0x800077c8 StrapScene_getUserInput
0x800079d0 StrapScene_calc
0x80007bc0 ColorFader_getStatus
0x80007bc8 StrapScene_draw
0x80007f2c StrapScene_exit
0x80007f34 outgoing_childCreate__Q23EGG5SceneFv
0x80007f38 incoming_childDestroy__Q23EGG5SceneFv
0x80007f3c reinit__Q23EGG5SceneFv
0x80007f40 exit__Q23EGG5SceneFv
0x80007f44 enter__Q23EGG5SceneFv
0x80007f48 draw__Q23EGG5SceneFv
0x80007f4c calc__Q23EGG5SceneFv
0x80007f50 GetResourcePath__Q26System8ResourceFQ26System15eSystemResource
0x80007f64 GetResourceID__Q26System8ResourceFQ26System15eSystemResource
0x80007f7c unk_80007f7c
0x80007fac unk_80007fac
0x80008004 unk_80008004
0x800080f4 unk_800080f4
0x80008bd0 Color_destroy
0x80008c10 unk_80008c10
0x80008cb0 unk_80008cb0
0x80008d18 unk_80008d18
0x80008e20 unk_80008e20
0x80008e74 unk_80008e74
0x80008e7c onExit__Q23EGG6ThreadFv
0x80008e80 onEnter__Q23EGG6ThreadFv
0x80008e84 RKSystem_getStaticInstance
0x80008e90 unk_80008e90
0x80008eb0 unk_80008eb0
0x80008ef0 RKSystem_main
0x80008fac RKSystem_getSysHeap
0x80008fb4 TSystem_initialize
0x80009190 unk_80009190
0x80009194 RKSystem_initialize
0x8000951c RKSystem_run
0x80009818 RKSystem_getDisplay
0x80009820 unk_80009820
0x80009824 unk_80009824
0x80009828 RKSystem_getSceneManager
0x80009830 RKSystem_getPerformanceView
0x80009844 RkSceneManager_changeSceneWithCreator
0x8000984c RKSceneManager_calcCurrentFader
0x80009984 RkSceneManager_calc
0x80009988 RkSceneManager_draw
0x8000998c unk_8000998c
0x8000999c unk_8000999c
0x800099ac BaseSystem_getVideo
0x800099b4 BaseSystem_getSysHeap
0x800099bc RKSystem_getXfbManager
0x800099c4 RKSystem_getAudioManager
0x800099cc unk_800099cc
0x80009b40 __dt__Q23EGG8Vector3fFv
0x80009b80 __dt__Q23EGG8Vector2fFv
0x80009bc0 HeapCollection_setGroupIdAll
0x80009c24 unk_80009c24
0x80009c8c unk_80009c8c
0x80009ce0 unk_80009ce0
0x80009d6c unk_80009d6c
0x80009ddc unk_80009ddc
0x80009ef8 RamStream_destroy
0x80009f5c ModuleSlots_destroy
0x80009ff0 ModuleLinker_initStaticInstance
0x8000a06c unk_8000a06c
0x8000a070 unk_8000a070
0x8000a074 unk_8000a074
0x8000a188 ModuleLinker_linkModule
0x8000a3f8 ModuleLinker_callModule
0x8000a440 ModuleLinker_dumpModuleInfo
0x8000a550 SceneCreatorStatic_create
0x8000a5a8 SceneCreatorStatic_destroy
0x8000a5d0 SystemManager_createInstance
0x8000a624 SystemManager_destroy
0x8000a688 SystemManager_construct
0x8000a8f0 SystemManager_NDEVArgParse
0x8000ab88 SystemManager_loadSymbols
0x8000ac50 SystemManager_init
0x8000af78 unk_8000af78
0x8000b0a0 unk_8000b0a0
0x8000b154 SystemManager_shutdownSystem
0x8000b188 SystemManager_returnToMenu
0x8000b1bc SystemManager_restart
0x8000b1f4 unk_8000b1f4
0x8000b210 unk_8000b210
0x8000b22c unk_8000b22c
0x8000b26c unk_8000b26c
0x8000b2d8 SystemManager_getRegionCode
0x8000b2e0 unk_8000b2e0
0x8000b308 SystemManager_ripFromDiscAsync
0x8000b370 SystemManager_ripFromDisc1
0x8000b53c unk_8000b53c
0x8000b5c8 SystemManager_ripFromDisc2
0x8000b5f0 SystemManager_ripFromDisc3
0x8000b610 SystemManager_isPal50
0x8000b654 SystemManager_stopAllControllerMotors
0x8000b6b0 main
0x8000b6b4 __DBMtrHandler
0x8000b6d8 __DBIntrHandler
0x8000b6fc DBInitComm
0x8000b758 DBInitInterrupts
0x8000b7ac DBQueryData
0x8000b850 DBRead
0x8000b8d0 DBWrite
0x8000b9e0 DBOpen
0x8000b9e4 DBClose
0x8000b9e8 __EXI2Imm
0x8000bcd0 __DBEXIInit
0x8000bd8c __DBEXIReadReg
0x8000beb0 __DBEXIWriteReg
0x8000bfb4 __DBEXIReadRam
0x8000c094 __DBEXIWriteRam
0x8000c174 _ftell
0x8000c21c ftell
0x8000c220 _fseek
0x8000c3e4 fseek
0x8000c3e8 rewind
0x8000c430 atexit
0x8000c434 Block_link
0x8000c584 SubBlock_merge_next
0x8000c62c deallocate_from_fixed_pools
0x8000c818 free
0x8000c948 __close_all
0x8000c9ec __flush_line_buffered_output_files
0x8000ca70 __flush_all
0x8000cadc __ull2dec
0x8000cbb8 __timesdec
0x8000ce40 __str2dec
0x8000cf2c __two_exp
0x8000d298 __equals_dec
0x8000d37c __less_dec
0x8000d47c __minus_dec
0x8000d998 __num2dec_internal
0x8000dafc __num2dec
0x8000dc9c __dec2num
0x8000e434 __prep_buffer
0x8000e45c __load_buffer
0x8000e558 __flush_buffer
0x8000e610 fread
0x8000e614 fwrite
0x8000e954 __fwrite
0x8000ec5c fclose
0x8000ed18 fflush
0x8000ee4c __msl_strnicmp
0x8000ef04 __fpclassifyf
0x8000ef64 __signbitd
0x8000ef7c __fpclassifyd
0x8000eff8 mbtowc
0x8000f010 __mbtowc_noconv
0x8000f05c __wctomb_noconv
0x8000f078 mbstowcs
0x8000f138 wcstombs
0x8000f1f0 memmove
0x8000f2bc memchr
0x8000f2e8 __memrchr
0x8000f314 memcmp
0x8000f360 __copy_longs_aligned
0x8000f41c __copy_longs_rev_aligned
0x8000f4c4 __copy_longs_unaligned
